minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
6,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3030.08,1
6,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,872.008,1
6,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,23668.9,1
6,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2828.53,1
6,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,71312.6,1
6,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,519.634,1
6,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,717.861,1
6,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,20197,1
6,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,13237.6,1
6,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,711.652,1
6,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,46,0
7,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1508.27,1
7,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2290.3,1
7,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,858.891,1
7,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,782.353,1
7,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3018.7,1
7,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,871.467,1
7,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1964.26,1
7,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2696.79,1
7,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,4146.49,1
7,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,515.869,1
7,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,4154.91,1
7,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,760.808,1
7,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,302964,1
7,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,713.962,1
7,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,29,0
8,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1516.04,1
8,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2305.64,1
8,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,811.583,1
8,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,747.117,1
