minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
6,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
6,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
6,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1887.72,1
6,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2528.52,1
6,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4587.97,1
6,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
6,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,684.099,1
6,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2539.99,1
6,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4712.46,1
6,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,701.406,1
6,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3971.61,1
7,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
7,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
7,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
7,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
7,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
7,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
7,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1874.59,1
7,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2519.94,1
7,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4586.22,1
7,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
7,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,678.129,1
7,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2538.79,1
7,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4712.05,1
7,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,699.092,1
7,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3955.1,1
8,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
8,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
8,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
8,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
8,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
8,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
8,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1869.92,1
8,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2517.08,1
8,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
8,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4585.96,1
8,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,677.437,1
8,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2535.25,1
8,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.95,1
8,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,698.549,1
8,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,3937.4,1
9,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
9,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
9,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
9,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
9,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
9,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,849.298,1
9,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1868.47,1
9,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2517.05,1
9,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
9,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4585.92,1
9,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,674.794,1
9,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2535.25,1
9,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4711.89,1
9,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,687.297,1
