minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
6,./A_set/A_,14,108,10,22,53,25,0.01,0.85,15,7,0
6,./A_set/A_,13,179,9,136,90,25,0.01,0.85,15,2038.78,1
6,./A_set/A_,11,54,9,4,53,25,0.01,0.85,15,500.908,1
6,./A_set/A_,6,180,10,87,182,25,0.01,0.85,15,736.97,1
6,./A_set/A_,15,108,10,22,53,25,0.01,0.85,15,7,0
6,./A_set/A_,2,89,9,32,90,25,0.01,0.85,15,4715.74,1
6,./A_set/A_,5,180,9,87,182,25,0.01,0.85,15,756.186,1
6,./A_set/A_,4,706,9,1377,365,25,0.01,0.85,15,54,0
7,./A_set/A_,9,18,10,0,17,25,0.01,0.85,15,1507.97,1
7,./A_set/A_,7,36,9,3,17,25,0.01,0.85,15,2277.97,1
7,./A_set/A_,12,54,10,0,53,25,0.01,0.85,15,794.89,1
7,./A_set/A_,8,18,9,4,17,25,0.01,0.85,15,744.971,1
7,./A_set/A_,10,108,9,40,53,25,0.01,0.85,15,2999.84,1
7,./A_set/A_,3,91,10,12,90,25,0.01,0.85,15,856.847,1
7,./A_set/A_,1,181,9,81,90,25,0.01,0.85,15,1823.32,1
7,./A_set/A_,14,108,10,22,53,25,0.01,0.85,15,7,0
7,./A_set/A_,13,179,9,136,90,25,0.01,0.85,15,2035.99,1
7,./A_set/A_,11,54,9,4,53,25,0.01,0.85,15,500.908,1
7,./A_set/A_,15,108,10,22,53,25,0.01,0.85,15,7,0
7,./A_set/A_,6,180,10,87,182,25,0.01,0.85,15,728.348,1
7,./A_set/A_,2,89,9,32,90,25,0.01,0.85,15,4707.72,1
7,./A_set/A_,5,180,9,87,182,25,0.01,0.85,15,746.166,1
7,./A_set/A_,4,706,9,1377,365,25,0.01,0.85,15,54,0
8,./A_set/A_,9,18,10,0,17,25,0.01,0.85,15,1507.97,1
8,./A_set/A_,7,36,9,3,17,25,0.01,0.85,15,2277.97,1
8,./A_set/A_,12,54,10,0,53,25,0.01,0.85,15,794.89,1
