minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
13,./A_set/A_,3,91,10,12,90,0.0025,0.0025,-1,15,849.298,1
13,./A_set/A_,1,181,9,81,90,0.0025,0.0025,-1,15,1864.02,1
13,./A_set/A_,14,108,10,22,53,0.0025,0.0025,-1,15,2490.17,1
13,./A_set/A_,11,54,9,4,53,0.0025,0.0025,-1,15,500.55,1
13,./A_set/A_,13,179,9,136,90,0.0025,0.0025,-1,15,4581.72,1
13,./A_set/A_,15,108,10,22,53,0.0025,0.0025,-1,15,2526.9,1
13,./A_set/A_,6,180,10,87,182,0.0025,0.0025,-1,15,670.139,1
13,./A_set/A_,2,89,9,32,90,0.0025,0.0025,-1,15,4711.74,1
13,./A_set/A_,5,180,9,87,182,0.0025,0.0025,-1,15,673.79,1
13,./A_set/A_,4,706,9,1377,365,0.0025,0.0025,-1,15,3819.63,1
14,./A_set/A_,9,18,10,0,17,0.0025,0.0025,-1,15,1507.28,1
14,./A_set/A_,7,36,9,3,17,0.0025,0.0025,-1,15,2277.19,1
14,./A_set/A_,12,54,10,0,53,0.0025,0.0025,-1,15,797.107,1
14,./A_set/A_,8,18,9,4,17,0.0025,0.0025,-1,15,747.406,1
14,./A_set/A_,10,108,9,40,53,0.0025,0.0025,-1,15,3000.63,1
14,./A_set/A_,3,91,10,12,90,0.0025,0.0025,-1,15,849.298,1
14,./A_set/A_,1,181,9,81,90,0.0025,0.0025,-1,15,1864.02,1
14,./A_set/A_,14,108,10,22,53,0.0025,0.0025,-1,15,2490.03,1
14,./A_set/A_,11,54,9,4,53,0.0025,0.0025,-1,15,500.55,1
14,./A_set/A_,13,179,9,136,90,0.0025,0.0025,-1,15,4581.62,1
14,./A_set/A_,15,108,10,22,53,0.0025,0.0025,-1,15,2526.9,1
14,./A_set/A_,6,180,10,87,182,0.0025,0.0025,-1,15,669.967,1
14,./A_set/A_,2,89,9,32,90,0.0025,0.0025,-1,15,4711.74,1
14,./A_set/A_,5,180,9,87,182,0.0025,0.0025,-1,15,670.928,1
14,./A_set/A_,4,706,9,1377,365,0.0025,0.0025,-1,15,3798.37,1
15,./A_set/A_,9,18,10,0,17,0.0025,0.0025,-1,15,1507.28,1
15,./A_set/A_,7,36,9,3,17,0.0025,0.0025,-1,15,2277.19,1
15,./A_set/A_,12,54,10,0,53,0.0025,0.0025,-1,15,797.107,1
15,./A_set/A_,8,18,9,4,17,0.0025,0.0025,-1,15,747.406,1
15,./A_set/A_,10,108,9,40,53,0.0025,0.0025,-1,15,3000.63,1
15,./A_set/A_,3,91,10,12,90,0.0025,0.0025,-1,15,849.298,1
15,./A_set/A_,1,181,9,81,90,0.0025,0.0025,-1,15,1864,1
15,./A_set/A_,14,108,10,22,53,0.0025,0.0025,-1,15,2489.98,1
15,./A_set/A_,11,54,9,4,53,0.0025,0.0025,-1,15,500.55,1
15,./A_set/A_,13,179,9,136,90,0.0025,0.0025,-1,15,4581.13,1
15,./A_set/A_,15,108,10,22,53,0.0025,0.0025,-1,15,2526.9,1
15,./A_set/A_,6,180,10,87,182,0.0025,0.0025,-1,15,668.563,1
15,./A_set/A_,2,89,9,32,90,0.0025,0.0025,-1,15,4711.74,1
15,./A_set/A_,5,180,9,87,182,0.0025,0.0025,-1,15,669.88,1
15,./A_set/A_,4,706,9,1377,365,0.0025,0.0025,-1,15,3781.8,1
1,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
1,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
1,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
1,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
1,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3012.78,1
1,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,862.101,1
1,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1962.96,1
1,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2571.89,1
1,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.588,1
1,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,7652.91,1
1,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,770.574,1
1,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2574.7,1
1,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4724.78,1
1,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,826.637,1
1,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,70,0
2,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
2,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
2,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
2,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
2,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
2,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,851.364,1
2,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1940.37,1
2,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2545.05,1
2,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
2,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4846.03,1
2,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,731.355,1
2,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2555.34,1
2,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4717.79,1
2,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,757.633,1
2,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,39,0
3,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
3,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
3,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
3,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
3,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
3,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,850.184,1
3,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1912.7,1
3,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2540.28,1
3,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
3,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4830.03,1
3,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2546.3,1
3,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,721.266,1
3,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4716.02,1
3,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,737.601,1
3,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,24,0
4,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
4,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
4,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
4,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
4,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
4,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,850.15,1
4,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1894.55,1
4,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2532.03,1
4,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
4,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4601.3,1
4,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2544.27,1
4,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,699.559,1
4,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4714.01,1
4,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,715.146,1
4,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,7,0
5,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
5,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
5,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
5,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
5,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
5,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,849.305,1
5,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1887.98,1
5,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2530.65,1
5,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
5,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4598.79,1
5,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2541.8,1
5,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,685.094,1
5,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4712.52,1
5,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,709.522,1
5,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,1,0
6,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
6,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
6,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
6,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
6,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
6,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,849.298,1
6,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1886.48,1
6,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2527.99,1
6,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
6,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4590.5,1
6,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2539.97,1
6,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,684.444,1
6,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4712.24,1
6,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,699.094,1
6,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,46428.4,1
7,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
7,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
7,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
7,./A_set/A_,8,18,9,4,17,0.0025,0.005,-1,15,747.406,1
7,./A_set/A_,10,108,9,40,53,0.0025,0.005,-1,15,3000.63,1
7,./A_set/A_,3,91,10,12,90,0.0025,0.005,-1,15,849.298,1
7,./A_set/A_,1,181,9,81,90,0.0025,0.005,-1,15,1874.59,1
7,./A_set/A_,14,108,10,22,53,0.0025,0.005,-1,15,2518,1
7,./A_set/A_,11,54,9,4,53,0.0025,0.005,-1,15,500.55,1
7,./A_set/A_,13,179,9,136,90,0.0025,0.005,-1,15,4587.42,1
7,./A_set/A_,15,108,10,22,53,0.0025,0.005,-1,15,2536.49,1
7,./A_set/A_,6,180,10,87,182,0.0025,0.005,-1,15,678.221,1
7,./A_set/A_,2,89,9,32,90,0.0025,0.005,-1,15,4712,1
7,./A_set/A_,5,180,9,87,182,0.0025,0.005,-1,15,698.549,1
7,./A_set/A_,4,706,9,1377,365,0.0025,0.005,-1,15,46330.8,1
8,./A_set/A_,9,18,10,0,17,0.0025,0.005,-1,15,1507.28,1
8,./A_set/A_,7,36,9,3,17,0.0025,0.005,-1,15,2277.19,1
8,./A_set/A_,12,54,10,0,53,0.0025,0.005,-1,15,797.107,1
