minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
5,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3002.12,1
5,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,871.452,1
5,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1962.92,1
5,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,502.851,1
5,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,731.571,1
5,./B_set_rounded/B_,9,120,9,44,42,0.005,0.0025,50,15,5,0
5,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,4819.77,1
5,./B_set_rounded/B_,1,100,9,26,53,0.005,0.0025,50,15,8,0
5,./B_set_rounded/B_,11,100,9,34,53,0.005,0.0025,50,15,5,0
5,./B_set_rounded/B_,8,119,9,37,42,0.005,0.0025,50,15,7777.52,1
5,./B_set_rounded/B_,5,706,9,1377,53,0.005,0.0025,50,15,32,0
5,./B_set_rounded/B_,2,100,9,19,53,0.005,0.0025,50,15,12,0
5,./B_set_rounded/B_,10,398,9,344,25,0.005,0.0025,50,15,14,0
5,./B_set_rounded/B_,6,100,9,19,53,0.005,0.0025,50,15,9,0
5,./B_set_rounded/B_,7,250,9,186,53,0.005,0.0025,50,15,12,0
5,./B_set_rounded/B_,4,706,9,1192,53,0.005,0.0025,50,15,39475.1,1
5,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,782.589,1
5,./B_set_rounded/B_,3,706,9,1192,53,0.005,0.0025,50,15,36,0
5,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,30,0
5,./B_set_rounded/B_,12,495,9,570,102,0.005,0.0025,50,15,52,0
6,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.28,1
6,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2272.78,1
6,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,798.094,1
6,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,744.293,1
6,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3002.12,1
6,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,866.371,1
6,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1962.92,1
6,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,502.09,1
6,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,731.571,1
6,./B_set_rounded/B_,9,120,9,44,42,0.005,0.0025,50,15,5,0
6,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,4819.77,1
6,./B_set_rounded/B_,1,100,9,26,53,0.005,0.0025,50,15,8,0
6,./B_set_rounded/B_,11,100,9,34,53,0.005,0.0025,50,15,5,0
6,./B_set_rounded/B_,8,119,9,37,42,0.005,0.0025,50,15,7773.61,1
6,./B_set_rounded/B_,5,706,9,1377,53,0.005,0.0025,50,15,32,0
6,./B_set_rounded/B_,2,100,9,19,53,0.005,0.0025,50,15,12,0
6,./B_set_rounded/B_,10,398,9,344,25,0.005,0.0025,50,15,13,0
6,./B_set_rounded/B_,6,100,9,19,53,0.005,0.0025,50,15,8,0
6,./B_set_rounded/B_,7,250,9,186,53,0.005,0.0025,50,15,7,0
6,./B_set_rounded/B_,4,706,9,1192,53,0.005,0.0025,50,15,39475.1,1
6,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,760.618,1
6,./B_set_rounded/B_,3,706,9,1192,53,0.005,0.0025,50,15,36,0
6,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,18,0
6,./B_set_rounded/B_,12,495,9,570,102,0.005,0.0025,50,15,52,0
7,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.28,1
7,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2272.78,1
7,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,798.094,1
7,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,744.293,1
7,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3002.12,1
7,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,865.247,1
7,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1962.92,1
7,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,499.469,1
7,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,731.571,1
7,./B_set_rounded/B_,9,120,9,44,42,0.005,0.0025,50,15,5,0
7,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,4737.27,1
7,./B_set_rounded/B_,1,100,9,26,53,0.005,0.0025,50,15,8,0
7,./B_set_rounded/B_,11,100,9,34,53,0.005,0.0025,50,15,5,0
7,./B_set_rounded/B_,8,119,9,37,42,0.005,0.0025,50,15,7711.71,1
7,./B_set_rounded/B_,2,100,9,19,53,0.005,0.0025,50,15,12,0
7,./B_set_rounded/B_,5,706,9,1377,53,0.005,0.0025,50,15,32,0
7,./B_set_rounded/B_,10,398,9,344,25,0.005,0.0025,50,15,12,0
7,./B_set_rounded/B_,6,100,9,19,53,0.005,0.0025,50,15,8,0
7,./B_set_rounded/B_,7,250,9,186,53,0.005,0.0025,50,15,7,0
7,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,747.929,1
7,./B_set_rounded/B_,4,706,9,1192,53,0.005,0.0025,50,15,39475.1,1
7,./B_set_rounded/B_,3,706,9,1192,53,0.005,0.0025,50,15,36,0
7,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,18,0
7,./B_set_rounded/B_,12,495,9,570,102,0.005,0.0025,50,15,52,0
8,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.28,1
8,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2272.78,1
8,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,798.094,1
8,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,744.293,1
8,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3002.12,1
8,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,865.247,1
8,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1962.92,1
8,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,498.039,1
8,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,711.714,1
8,./B_set_rounded/B_,9,120,9,44,42,0.005,0.0025,50,15,5,0
8,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,4737.27,1
8,./B_set_rounded/B_,1,100,9,26,53,0.005,0.0025,50,15,8,0
